gene_ID,C_0,C_15,C_30,C_60,S_0,S_15,S_30,S_60,WT_0,WT_15,WT_30,WT_60,log2fc_C_0_WT_0,log2fc_C_15_WT_15,log2fc_C_30_WT_30,log2fc_C_60_WT_60,log2fc_S_0_WT_0,log2fc_S_15_WT_15,log2fc_S_30_WT_30,log2fc_S_60_WT_60,qC_0_WT_0,qC_15_WT_15,qC_30_WT_30,qC_60_WT_60,qS_0_WT_0,qS_15_WT_15,qS_30_WT_30,qS_60_WT_60,cluster
AT1G14540,0.0451384,1.72087,0.789043,5.4504,0.0385529,1.27718,0.790636,8.53844,0.129565,8.76255,5.90736,17.4668,1.52124,2.34821,2.90434,1.68018,1.74876,2.77839,2.90143,1.03257,1,0.0118963,0.00225554,0.0430158,1,0.00225554,0.00225554,0.455967,2
AT1G14880,4.35835,0.373738,0.606959,6.45198,39.0574,3.35122,3.04381,3.13188,24.6226,1.44286,8.23146,38.3999,2.49813,1.94884,3.76148,2.57329,-0.665609,-1.21575,1.43527,3.616,0.00225554,0.52031,0.00225554,0.00225554,0.851361,0.693557,0.161917,0.00225554,2
AT1G15385,0.165083,0,0,0,0,0,0.0456025,0.0180129,0.0607762,0,0.816269,1.53077,-1.44162,0,65535,65535,65535,0,4.16186,6.40908,1,1,0.00225554,0.00225554,1,1,0.951926,0.458743,2
AT1G16850,7.56964,5.5526,4.68882,10.7786,19.7581,8.88742,15.1867,8.82011,17.6174,3.77301,5.77708,32.8061,1.2187,-0.557445,0.301117,1.60579,-0.165445,-1.23605,-1.3944,1.89509,0.1068,0.999842,0.999842,0.0299199,0.999842,0.257971,0.0220541,0.0146178,2
AT1G17600,1.1342,0.735698,0.952137,1.67268,1.27065,0.771518,1.05831,1.95795,2.0569,1.58477,1.60567,3.8461,0.858801,1.10709,0.753933,1.20123,0.694906,1.0385,0.601411,0.974056,0.352559,0.257971,0.562415,0.0371458,0.566771,0.314509,0.791718,0.127806,2
AT1G18970,0.0762155,0.0467385,0.0469286,0.0436996,0.0104777,0.0134514,0.0706602,0,0.130491,0,0.110878,0.707001,0.775788,65535,1.24044,4.01602,3.63855,65535,0.650008,65535,1,1,1,0.868961,1,1,1,0.00225554,2
AT1G19200,3.77154,1.36915,1.33864,2.08282,3.62375,0.958158,3.81088,2.25174,5.50155,1.47803,2.45032,11.6354,0.544686,0.110397,0.872199,2.48191,0.602355,0.625338,-0.637156,2.36941,0.999842,0.999842,0.865939,0.00225554,0.999842,0.999842,0.999842,0.00225554,2
AT1G20440,99.6923,66.2922,61.5326,74.8564,188.392,89.582,218.843,103.672,157.577,86.8962,132.331,380.714,0.660501,0.390454,1.10472,2.34651,-0.257682,-0.0439147,-0.725747,1.87669,0.70457,0.999842,0.0895647,0.00415009,0.999842,0.999842,0.485153,0.0208548,2
AT1G20450,126.432,133.999,158.336,109.789,220.22,166.143,237.747,133.357,184.356,149.087,164.213,310.436,0.544131,0.153935,0.052574,1.49957,-0.256454,-0.156275,-0.533865,1.219,0.781215,0.999842,0.999842,0.0391221,0.999842,0.999842,0.714427,0.125282,2
AT1G21525,11.3337,1.90917,1.49023,2.93496,4.06969,1.5295,11.7755,3.40158,7.14712,2.03148,1.23844,5.83104,-0.665186,0.0895864,-0.267007,0.990413,0.812443,0.409467,-3.24918,0.777549,0.978593,0.999842,0.999842,0.597767,0.833376,0.999842,0.00415009,0.87212,2
AT1G22380,0.613555,1.27656,0.679623,2.03242,3.61911,0.920759,1.51971,1.32002,2.1532,2.00286,1.41979,4.47418,1.81122,0.649796,1.06287,1.13842,-0.749152,1.12117,-0.0981111,1.76107,0.0694445,0.976197,0.588472,0.276421,0.870115,0.41228,0.999842,0.015928,2
AT1G22400,26.7385,7.50974,13.6808,15.6068,14.6506,8.02142,16.0398,18.607,16.2506,45.7215,16.1143,53.6957,-0.718427,2.60604,0.236191,1.78264,0.149535,2.51094,0.00668001,1.52896,0.529247,0.00225554,0.999842,0.00225554,0.999842,0.00225554,0.999842,0.00415009,2
AT1G22570,2.92359,3.85193,3.63951,14.4418,8.92633,2.60093,9.30501,8.8549,11.1765,4.70931,8.89769,21.5805,1.93465,0.289934,1.28969,0.579479,0.32433,0.856489,-0.0645776,1.28518,0.00748685,0.999842,0.0449349,0.787122,0.999842,0.604416,0.999842,0.0410864,2
AT1G23800,5.94459,7.30298,4.88356,11.2281,24.1898,4.55852,13.9229,6.313,9.98312,5.69418,6.85846,30.9667,0.747913,-0.358999,0.489951,1.4636,-1.27684,0.320923,-1.02151,2.29432,0.562415,0.999842,0.967692,0.0653304,0.153177,0.999842,0.235211,0.00225554,2
AT1G28260,1.50799,1.34581,1.49298,2.04747,2.04167,1.60315,1.84718,2.96441,2.9273,1.7575,1.8659,4.6031,0.956947,0.385055,0.321682,1.16876,0.51982,0.132618,0.0145509,0.634859,0.208798,0.999842,0.999842,0.0486053,0.896638,0.999842,0.999842,0.614612,2
AT1G28480,6.73978,21.7232,19.4076,33.6857,8.37525,12.239,10.1846,19.9432,8.76014,35.4934,10.476,47.6762,0.378252,0.708317,-0.889538,0.501136,0.0648223,1.53607,0.0406985,1.25738,0.999842,0.524461,0.284374,0.750234,0.999842,0.00901084,0.999842,0.00587253,2
AT1G29195,2.91579,1.474,2.38246,2.71493,5.76477,2.11353,3.99442,2.63798,3.32486,2.48107,1.75546,8.37177,0.189408,0.751233,-0.440601,1.62462,-0.793968,0.231309,-1.18613,1.6661,0.999842,0.999842,0.999842,0.0439841,0.842674,0.999842,0.386749,0.0627796,2
