gene_ID,WT_0,WT_15,WT_30,WT_60,log2fc_WT_0_WT_15,log2fc_WT_0_WT_30,log2fc_WT_0_WT_60,log2fc_WT_15_WT_30,log2fc_WT_15_WT_60,log2fc_WT_30_WT_60,qWT_0_WT_15,qWT_0_WT_30,qWT_0_WT_60,qWT_15_WT_30,qWT_15_WT_60,qWT_30_WT_60,cluster
AT2G30020,10.3225,60.1338,22.7227,44.0945,2.54239,1.13834,2.09481,-1.40405,-0.447577,0.956468,0.00225554,0.0208548,0.00225554,0.00225554,0.922832,0.0702626,9
AT2G30140,56.1199,46.5291,44.5799,93.763,-0.270379,-0.332117,0.740508,-0.0617376,1.01089,1.07262,0.999842,0.999842,0.272282,0.999842,0.0670039,0.0277452,1
AT2G30440,44.0179,50.342,48.4308,89.7529,0.193671,0.137834,1.02787,-0.0558369,0.834197,0.890034,0.999842,0.999842,0.0309671,0.999842,0.169792,0.0858357,1
AT2G30550,48.681,25.2414,32.6735,59.4603,-0.947565,-0.575237,0.288568,0.372328,1.23613,0.863805,0.130922,0.685376,0.999842,0.999842,0.0196585,0.179037,1
AT2G30600,5.39989,12.2337,8.37257,18.7502,1.17985,0.632741,1.7959,-0.547112,0.616048,1.16316,0.0835581,0.488703,0.00225554,0.864758,0.761201,0.015928,6
AT2G30766,171.088,457.152,224.143,116.344,1.41794,0.389683,-0.556344,-1.02825,-1.97428,-0.946027,0.028818,0.999842,0.619695,0.22001,0.00225554,0.118149,9
AT2G30870,145.696,228.924,244.69,362.308,0.651904,0.747992,1.31425,0.0960879,0.662346,0.566258,0.394945,0.170889,0.00225554,0.999842,0.418148,0.525179,8
AT2G31020,0.280024,0.226985,1.17345,3.49765,-0.302953,2.06713,3.64276,2.37009,3.94572,1.57563,1,0.0476943,0.00225554,0.0458466,0.00225554,0.0299199,1
AT2G31880,38.0176,101.392,105.897,161.636,1.4152,1.47792,2.08801,0.0627249,0.672808,0.610083,0.0975509,0.0540901,0.00225554,0.999842,0.674247,0.765926,8
AT2G31945,3.93588,1.38331,4.27722,7.72403,-1.50857,0.119987,0.972666,1.62855,2.48123,0.852679,0.563628,0.999842,0.832423,0.436241,0.0449349,0.915323,3
AT2G32010,3.55636,1.88172,1.39698,1.52421,-0.918353,-1.34809,-1.22234,-0.429734,-0.303984,0.12575,0.264585,0.0208548,0.0513685,0.999842,0.999842,0.999842,10
AT2G32100,4.56004,0.973818,1.85781,3.73534,-2.22732,-1.29544,-0.28781,0.931882,1.93951,1.00763,0.0341157,0.265458,0.999842,0.863847,0.073519,0.547987,4
